S,S,S,S,S,S,S,S,W,D,D,D,DR,W,W,W,W,W,W,O,O,O,O
S,S,S,S,S,S,S,S,W,D,D,D,D,W,L,LU,LU,L,W,O,O,O,O
S,S,S,S,S,S,SD,S,W,D,D,D,D,W,L,L,L,L,W,O,O,O,O
W,W,WU,W,W,W,W,W,W,D,D,D,D,W,L,L,L,L,W,W,OL,O,O
W,W,W,W,W,W,W,W,W,W,W,W,W,W,L,L,L,L,W,W,O,O,O
B,B,B,B,B,B,B,W,W,W,W,W,W,W,L,L,L,L,W,W,O,O,O
B,B,B,B,B,B,B,W,W,W,W,W,W,W,12,L,L,L,W,W,O,O,O
B,B,B,B,B,B,BR,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
B,B,B,B,B,B,BR,W,W,X,X,X,X,X,W,W,Q,Q,W,W,W,W,W
B,BD,B,B,B,B,BR,W,W,X,X,X,X,X,W,W,Z,Q,Q,Q,Q,Q,Q
W,W,W,W,B,B,B,W,W,X,X,X,X,X,W,W,Z,Q,Q,Q,Q,Q,Q
W,W,W,W,W,B,B,W,W,X,X,X,X,X,W,W,Q,Q,Q,Q,Q,Q,Q
K,K,K,W,W,B,B,W,W,X,X,X,X,X,Z,W,Q,Q,Q,Q,Q,Q,Q
K,K,K,W,W,W,WD,W,W,W,W,W,W,W,Z,W,Q,QR,W,W,W,W,W
K,K,KR,W,W,W,F,F,W,W,W,W,W,W,Z,W,Q,Q,W,W,W,W,W
K,K,K,K,K,W,W,W,W,W,W,W,W,W,W,W,Q,Q,W,R,R,R,RU
K,K,K,K,K,W,W,W,W,W,W,C,C,C,W,W,W,W,W,R,R,R,R
K,K,K,K,K,W,W,W,W,C,C,C,C,C,C,W,W,W,W,R,R,R,R
K,K,K,K,K,K,K,W,W,C,C,C,C,C,C,C,C,W,W,R,R,R,R
K,K,K,K,K,K,K,W,W,CL,C,C,C,C,C,C,CR,W,W,R,R,R,R
K,K,K,K,K,K,KR,W,W,CL,C,C,C,C,C,C,CR,W,W,R,R,R,R
K,K,K,K,K,K,KR,W,W,CL,C,C,C,C,C,C,C,W,W,R,R,R,R
